Sample	Depth	Water Content	Oil Content	Interconnected Porosity	Average Interconnected Porosity	Air Permeability	Air Permeability	Grain Density	Lithology Code
		% of pore volume	% of pore volume	% bulk volume	% bulk volume	horizontal	vertical		
	(feet)	(%)	(%)	(%)	(%)	mD	mD	g/cc	
480	10795.2			23.1	25.7	69.0		2.64	20
									
481	10796.2			27.9	26.8	1300.0		2.64	20
482	10797.2			28.1	27.6	1100.0		2.63	20
483	10798.2			26.1	26.2	260.0		2.63	20
484	10799.2	52	25	24.6	24.5	200.0		2.64	20
485	10799.3			22.6	23.9	150.0		2.64	20
									
486	10800.3			25.7	25.3	430.0		2.64	20
487	10802.2			27.1	24.8	250.0		2.63	20
488	10803.0			19.4	23.4	26.0		2.66	20
489	10804.1			27.6	25.4	850.0		2.64	20
490	10805.0			27.1	27.2	630.0		2.65	20
									
491	10806.1	44	22	27.1	26.3	900.0		2.65	20
492	10807.1			24.1		250.0		2.68	20
493	10958.2			17.1		98.0		2.66	20
494	10959.2			18.1	17.4	260.0	6.7	2.67	20
495	10960.2			16.2	16.0	47.0		2.66	20
									
496	10960.8			13.5	15.9	4.8		2.69	20
497	10961.8			20.6	19.2	98.0		2.68	20
498	10962.3			22.1	20.9	380.0		2.65	20
499	10963.6			18.8	19.6	250.0		2.68	20
500	10964.6			18.9	19.7	180.0		2.68	20
									
501	10965.7			22.1	21.4	270.0		2.65	20
502	10966.5			22.6	22.2	270.0		2.66	20
503	10967.5			21.4	21.6	270.0		2.69	20
504	10968.5			20.8	21.5	120.0		2.65	20
