Depth,Porosity,Saturation 
10706.05,0.259394,0.248123
10706.49,0.261818,0.236581
10706.93,0.264242,0.229574
10707.37,0.269091,0.220408
10707.8,0.282424,0.206571
10708.24,0.290303,0.19648
10708.68,0.285455,0.194292
10709.12,0.278788,0.191785
10709.55,0.281212,0.181504
10709.99,0.278788,0.17431
10710.43,0.281212,0.169124
10710.87,0.283637,0.170204
10711.3,0.254545,0.190305
10711.74,0.229091,0.211835
10712.18,0.207273,0.226645
10712.62,0.195152,0.226541
10713.06,0.152121,0.267867
10713.49,0.154546,0.263513
10713.93,0.161818,0.268492
10714.37,0.163636,0.272502
10714.81,0.168485,0.262317
10715.25,0.173333,0.244025
10715.68,0.170909,0.246581
10716.12,0.175758,0.237992
10716.56,0.175758,0.241814
10717,0.212727,0.207062
10717.44,0.24303,0.183585
10717.87,0.266667,0.167416
10718.31,0.281212,0.155866
10718.75,0.286061,0.146988
10719.19,0.287879,0.143135
10719.63,0.27394,0.150716
10720.06,0.276364,0.150867
10720.5,0.266667,0.155797
10720.94,0.269091,0.155384
10721.38,0.271515,0.153523
10721.82,0.28,0.149713
10722.26,0.285455,0.152124
10722.69,0.275151,0.162198
10723.13,0.27394,0.168279
10723.57,0.271515,0.172773
10724.01,0.256522,0.169406
10724.45,0.219181,0.173049
10724.89,0.207412,0.163601
10725.33,0.220104,0.162557
10725.76,0.260606,0.157661
10726.2,0.264242,0.155632
10726.64,0.247273,0.168441
10727.08,0.245455,0.170948
10727.52,0.247273,0.167675
10727.96,0.24303,0.171057
10728.4,0.247273,0.168739
10728.83,0.24303,0.171671
10729.27,0.24303,0.17284
10729.71,0.25697,0.164082
10730.15,0.266667,0.161521
10730.59,0.266667,0.165356
10731.03,0.266667,0.168465
10731.47,0.271515,0.163157
10731.91,0.27394,0.159151
10732.35,0.254545,0.166051
10732.78,0.261818,0.159633
10733.22,0.261818,0.157506
10733.66,0.247273,0.167432
10734.1,0.247273,0.168413
10734.54,0.245455,0.170324
10734.98,0.245455,0.170509
10735.42,0.233333,0.17906
10735.86,0.233333,0.181225
10736.3,0.247273,0.174402
10736.74,0.252121,0.180381
10737.18,0.25697,0.186917
10737.62,0.252121,0.202641
10738.05,0.259394,0.210054
10738.49,0.25697,0.223312
10738.93,0.223636,0.258916
10739.37,0.204848,0.276225
10739.81,0.202424,0.264405
10740.25,0.192727,0.258554
10740.69,0.187879,0.259507
10741.13,0.175758,0.290563
10741.57,0.185454,0.296057
10742.01,0.192727,0.31103
10742.45,0.2,0.308845
10742.89,0.192727,0.313971
10743.33,0.221212,0.259417
10743.77,0.238182,0.229505
10744.21,0.244243,0.215606
10744.65,0.249697,0.20918
10745.09,0.225455,0.230544
10745.53,0.211515,0.247951
10745.97,0.200606,0.262141
10746.41,0.190303,0.276291
10746.85,0.195152,0.275647
10747.29,0.190303,0.282649
10747.73,0.18303,0.297624
10748.17,0.179394,0.303044
10748.61,0.166061,0.310881
10749.05,0.152121,0.288997
10749.49,0.152121,0.27524
10749.93,0.164243,0.286289
10750.37,0.18303,0.277278
10750.81,0.202424,0.253942
10751.25,0.209091,0.231795
10751.69,0.211515,0.212955
10752.13,0.178182,0.257636
10752.57,0.168485,0.272161
10753.01,0.166061,0.273724
10753.45,0.190303,0.246446
10753.89,0.198788,0.250053
10754.33,0.202424,0.2558
10754.77,0.211515,0.243956
10755.21,0.218788,0.233259
10755.65,0.211515,0.237552
10756.09,0.206667,0.237695
10756.53,0.202424,0.238474
10756.97,0.187879,0.251989
10757.41,0.195152,0.230935
10757.85,0.211515,0.219393
10758.29,0.216364,0.21021
10758.74,0.227273,0.200364
10759.18,0.238182,0.184449
10759.62,0.245455,0.17781
10760.06,0.235758,0.183518
10760.5,0.240606,0.181601
10760.94,0.245455,0.179978
10761.38,0.247273,0.183781
10761.82,0.252121,0.183168
10762.26,0.24303,0.189505
10762.7,0.234545,0.192283
10763.14,0.215035,0.19275
10763.58,0.208947,0.181915
10764.03,0.236364,0.173733
10764.47,0.252121,0.15977
10764.91,0.249697,0.162372
10765.35,0.252121,0.163419
10765.79,0.252121,0.171148
10766.23,0.247879,0.185891
10766.67,0.249697,0.190923
10767.11,0.240606,0.199283
10767.55,0.241818,0.198681
10767.99,0.24303,0.199796
10768.43,0.228485,0.219668
10768.88,0.229697,0.227365
10769.32,0.235758,0.225022
10769.76,0.229091,0.223592
10770.2,0.216364,0.2294
10770.64,0.209697,0.210614
10771.08,0.18303,0.212461
10771.52,0.169091,0.215636
10771.96,0.190303,0.216822
10772.4,0.206061,0.209159
10772.84,0.22,0.201459
10773.28,0.223636,0.194867
10773.72,0.218182,0.194197
10774.17,0.202424,0.211011
10774.61,0.204848,0.219287
